SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
40	1110	2967	2897
41	1110	4031	3914
42	1110	8067	7889
43	1110	2732	2679
44	1110	1637	1587
45	1110	6864	6741
46	1110	3948	3849
47	1110	3319	3237
48	1110	738	708
49	1110	612	589
50	1110	8027	7843
51	1110	9134	8911
52	1110	4587	4480
53	1110	7539	7384
54	1110	3368	3283
55	1110	2554	2505
56	1110	3324	3244
57	1110	607	595
58	1110	4964	4842
59	1110	6478	6344
60	1110	3504	3411
61	1110	500	481
62	1110	3253	3163
63	1110	5036	4900
64	1110	1257	1227
65	1110	6487	6326
66	1110	4585	4475
67	1110	3572	3500
68	1110	2795	2728
69	1110	3733	3623
70	1110	9204	8991
71	1110	3398	3306
72	1110	5240	5112
73	1110	72	69
74	1110	6644	6476
75	1110	5507	5358
76	1110	6679	6499
77	1110	1876	1832
78	1110	1355	1324
79	1110	2412	2360
80	1110	915	885
81	1110	4328	4222
82	1110	1684	1635
83	1110	965	936
84	1110	7321	7088
85	1110	1475	1400
86	1110	4754	4639
87	1110	4607	4489
88	1110	622	598
89	1110	1983	1919
90	1110	1278	1251
91	1110	4680	4589
92	1110	1761	1701
93	1110	2276	2210
94	1110	931	911
95	1110	1601	1554
96	1110	1704	1643
0	1111	54557	52613
1	1111	2	2
2	1111	246	238
3	1111	2650	2583
4	1111	713	686
5	1111	1829	1782
6	1111	1384	1342
7	1111	5139	5010
8	1111	2652	2571
9	1111	3454	3366
10	1111	1029	1006
11	1111	4846	4712
12	1111	979	948
13	1111	161	141
14	1111	1973	1922
15	1111	1820	1772
16	1111	2773	2692
17	1111	1450	1406
18	1111	2845	2763
19	1111	5743	5591
20	1111	1169	1137
21	1111	1167	1140
22	1111	159	155
23	1111	1278	1254
24	1111	4994	4866
25	1111	108	107
26	1111	976	941
27	1111	3077	3009
28	1111	1443	1391
29	1111	3597	3490
30	1111	8344	8089
31	1111	1263	1215
32	1111	3670	3541
33	1111	1193	1160
34	1111	5429	5278
35	1111	2742	2662
36	1111	1532	1486
37	1111	157	151
38	1111	5848	5691
39	1111	10567	10275
40	1111	3077	2981
41	1111	3976	3845
42	1111	8036	7816
43	1111	2688	2613
44	1111	1746	1690
45	1111	6768	6627
46	1111	3992	3888
47	1111	3294	3213
48	1111	678	661
49	1111	661	644
50	1111	7862	7653
51	1111	9172	8923
52	1111	4500	4378
53	1111	7528	7363
54	1111	3405	3325
55	1111	2539	2472
56	1111	3291	3217
57	1111	638	612
58	1111	4923	4792
59	1111	6202	6032
60	1111	3583	3483
61	1111	481	462
62	1111	3282	3209
63	1111	4983	4843
64	1111	1333	1297
65	1111	6552	6390
66	1111	4811	4669
67	1111	3565	3481
68	1111	2935	2843
69	1111	3729	3600
70	1111	9273	9040
71	1111	3431	3343
72	1111	5514	5363
73	1111	92	87
74	1111	6527	6340
75	1111	5487	5340
76	1111	6772	6619
77	1111	1864	1814
78	1111	1342	1288
79	1111	2285	2230
80	1111	977	931
81	1111	4352	4223
82	1111	1657	1595
83	1111	1010	985
84	1111	7413	7179
85	1111	1512	1430
86	1111	4852	4709
87	1111	4528	4423
88	1111	669	644
89	1111	2013	1949
90	1111	1348	1322
91	1111	4721	4601
92	1111	1819	1775
93	1111	2276	2209
94	1111	882	856
95	1111	1577	1534
96	1111	1744	1670
0	1112	54484	52646
1	1112	1	1
2	1112	286	277
3	1112	2791	2713
4	1112	716	697
5	1112	1855	1807
6	1112	1418	1381
7	1112	5277	5147
8	1112	2769	2710
9	1112	3441	3372
10	1112	1057	1032
11	1112	4820	4707
12	1112	960	927
13	1112	171	140
14	1112	1882	1832
15	1112	1892	1843
16	1112	2747	2683
17	1112	1385	1341
18	1112	2998	2923
19	1112	5778	5629
20	1112	1126	1095
21	1112	1192	1164
22	1112	197	191
23	1112	1340	1309
24	1112	4968	4858
25	1112	103	102
26	1112	943	917
27	1112	3036	2973
28	1112	1408	1365
29	1112	3491	3398
30	1112	8008	7799
31	1112	1269	1224
32	1112	3755	3640
33	1112	1163	1129
34	1112	5520	5383
35	1112	2691	2622
36	1112	1472	1429
37	1112	182	177
38	1112	5921	5817
39	1112	10558	10280
40	1112	3013	2945
41	1112	3969	3861
42	1112	8043	7842
43	1112	2743	2668
44	1112	1739	1692
45	1112	7061	6940
46	1112	3994	3904
47	1112	3310	3219
48	1112	716	693
49	1112	629	604
50	1112	7936	7716
51	1112	9060	8808
52	1112	4508	4403
53	1112	7477	7289
54	1112	3373	3282
55	1112	2605	2547
56	1112	3366	3284
57	1112	637	623
58	1112	5153	5013
59	1112	6175	6017
60	1112	3644	3553
61	1112	451	432
62	1112	3362	3265
63	1112	4961	4813
64	1112	1336	1301
65	1112	6605	6451
66	1112	4718	4600
67	1112	3530	3455
68	1112	2969	2897
69	1112	3747	3647
70	1112	9244	9019
71	1112	3577	3492
72	1112	5400	5271
73	1112	99	96
74	1112	6552	6373
75	1112	5499	5353
76	1112	6687	6535
77	1112	1904	1849
78	1112	1427	1380
79	1112	2280	2218
80	1112	928	882
81	1112	4446	4328
82	1112	1678	1622
83	1112	1034	1005
84	1112	7563	7359
85	1112	1512	1432
86	1112	4754	4629
87	1112	4552	4437
88	1112	628	614
89	1112	1929	1882
90	1112	1346	1319
91	1112	4642	4533
92	1112	1814	1770
93	1112	2275	2214
94	1112	878	856
95	1112	1557	1507
96	1112	1631	1568
0	1113	55489	53578
1	1113	1	1
2	1113	267	260
3	1113	2604	2537
4	1113	710	690
5	1113	1764	1711
6	1113	1421	1381
7	1113	5181	5061
8	1113	2736	2694
9	1113	3404	3334
10	1113	1078	1043
11	1113	4899	4782
12	1113	905	871
13	1113	162	138
14	1113	1909	1860
15	1113	1874	1835
16	1113	2698	2623
17	1113	1430	1403
18	1113	2945	2884
19	1113	5717	5570
20	1113	1128	1101
21	1113	1255	1224
22	1113	157	151
23	1113	1251	1226
24	1113	4861	4742
25	1113	104	96
26	1113	992	967
27	1113	3015	2942
28	1113	1404	1353
29	1113	3587	3492
30	1113	8146	7937
31	1113	1240	1189
32	1113	3814	3706
33	1113	1255	1212
34	1113	5506	5366
35	1113	2685	2616
36	1113	1599	1555
37	1113	172	168
38	1113	5904	5770
39	1113	10745	10464
40	1113	2985	2921
41	1113	4040	3939
42	1113	8188	7991
43	1113	2678	2606
44	1113	1788	1741
45	1113	7051	6922
46	1113	4040	3941
47	1113	3216	3118
48	1113	680	656
49	1113	697	675
50	1113	7951	7741
51	1113	9151	8906
52	1113	4459	4350
53	1113	7383	7232
54	1113	3419	3338
55	1113	2573	2505
56	1113	3384	3313
57	1113	633	610
58	1113	5185	5050
59	1113	6351	6174
60	1113	3541	3453
61	1113	512	495
62	1113	3298	3207
63	1113	5162	5037
64	1113	1298	1256
65	1113	6449	6286
